Question,related_sentences
When did the Romans bring Vulgar Latin to the Iberian Peninsula?,"According to the Royal Spanish Academy, español derives from the Occitan word espaignol and that, in turn, derives from the Vulgar Latin *hispaniolus ('from Hispania'). Hispania was the Roman name for the Iberian Peninsula. Spanish philologist Menéndez Pidal suggested that the classic hispanus or hispanicus took the suffix -one from Vulgar Latin, as it happened with other words such as bretón (Breton) or sajón (Saxon). The word *hispanione evolved into the Old Spanish españón, eventually becoming español. History Like the other Romance languages, the Spanish language evolved from Vulgar Latin, which here was brought to the Iberian Peninsula by the Romans during the Second Punic War, beginning in 210 BC."
Where does most of Spanish's vocabulary come from?,"As a Romance language, Spanish is a descendant of Latin and has one of the smaller degrees of difference from it (about 20%) alongside Sardinian and Italian. Around 75% of modern Spanish vocabulary is derived from Latin, including Latin borrowings from Ancient Greek."
What is the world's fourth-most spoken language?,"Spanish is the official language of 20 countries. It is the world's second-most spoken native language after Mandarin Chinese; the world's fourth-most spoken language overall after English, Mandarin Chinese, and Hindustani (Hindi-Urdu); and the world's most widely spoken Romance language."
What country took over the Phillipines after the Spanish-American War?,"Asia Spanish was an official language of the Philippines from the beginning of Spanish administration in 1565 to a constitutional change in 1973. During Spanish colonization (1565–1898), it was the language of government, trade, and education, and was spoken as a first language by Spaniards and educated Filipinos. By the end of Spanish rule in 1898, only about 10% of the population had knowledge of Spanish, mostly those of Spanish descent or elite standing."
Spanish is the most common second language in what country?,"The Spanish language has a long history of presence in the United States due to early Spanish and, later, Mexican administration over territories now forming the southwestern states, also Louisiana ruled by Spain from 1762 to 1802, as well as Florida, which was Spanish territory until 1821, and Puerto Rico which was Spanish until 1898. Spanish is by far the most common second language in the country, with over 50 million total speakers if non-native or second-language speakers are included."
Is Equatorial Guinea the only Sub-Saharan Spanish-speaking country?,"Africa  Sub-Saharan Africa Equatorial Guinea is the only Sub-Saharan Spanish-speaking country, where it was introduced by the 19th century once the Spain's control over its colonies in the gulf of Guinea acquired in 1778 consolidated. Enshrined in the constitution as an official language (alongside French and Portuguese), Spanish prominently features in the Equatoguinean education system."
Is Spanish the second most used language on the internet?,"An additional 75 million speak Spanish as a second or foreign language, making it the fourth most spoken language in the world overall after English, Mandarin Chinese, and Hindi with a total number of 538 million speakers. Spanish is also the third most used language on the Internet, after English and Chinese. Europe Spanish is the official language of Spain, the country after which it is named and from which it originated."
Why can Spanish and Portuguese speakers communicate in written form?,"It is generally acknowledged that Portuguese and Spanish speakers can communicate in written form, with varying degrees of mutual intelligibility. Mutual intelligibility of the written Spanish and Portuguese languages is remarkably high, and the difficulties of the spoken forms are based more on phonology than on grammatical and lexical dissimilarities."
Who said that language is the instrument of empire?,"According to a popular anecdote, when Nebrija presented it to Queen Isabella I, she asked him what was the use of such a work, and he answered that language is the instrument of empire. In his introduction to the grammar, dated 18 August 1492, Nebrija wrote that ""... language was always the companion of empire.""From the 16th century onwards, the language was taken to the Spanish-discovered America and the Spanish East Indies via Spanish colonization of America."
What Spanish dialect has the most speakers?,"The variety with the most speakers is Mexican Spanish. It is spoken by more than twenty percent of the world's Spanish speakers (more than 112 million of the total of more than 500 million, according to the table above)."
Who was the president of the Phillipines in 1973?,"Nevertheless, despite a significant decrease in influence and speakers, Spanish remained an official language of the Philippines upon independence in 1946, alongside English and Filipino, a standardized version of Tagalog. Spanish was briefly removed from official status in 1973 under the administration of Ferdinand Marcos, but regained official status two months later under Presidential Decree No. 155, dated 15 March 1973."
Some dialecst of Spanish phonemic inventory consists 19 consonant phonemes. ,"The Spanish phonemic inventory consists of five vowel phonemes (/a/, /e/, /i/, /o/, /u/) and 17 to 19 consonant phonemes (the exact number depending on the dialect). The main allophonic variation among vowels is the reduction of the high vowels /i/ and /u/ to glides—[j] and [w] respectively—when unstressed and adjacent to another vowel. Some instances of the mid vowels /e/ and /o/, determined lexically, alternate with the diphthongs /je/ and /we/ respectively when stressed, in a process that is better described as morphophonemic rather than phonological, as it is not predictable from phonology alone."
Which institute aims to advance the Spanish and Hispanic American cultures in non-Spanish-speaking countries?,"Association of Spanish Language Academies The Association of Spanish Language Academies (Asociación de Academias de la Lengua Española, or ASALE) is the entity which regulates the Spanish language. Cervantes Institute The Instituto Cervantes (Cervantes Institute) is a worldwide nonprofit organization created by the Spanish government in 1991. This organization has branches in 45 countries, with 88 centers devoted to the Spanish and Hispanic American cultures and Spanish language. The goals of the Institute are to promote universally the education, the study, and the use of Spanish as a second language, to support methods and activities that help the process of Spanish-language education, and to contribute to the advancement of the Spanish and Hispanic American cultures in non-Spanish-speaking countries."
Why do so many people in the US speak Spanish?,"While far from the heyday of the Spanish protectorate in Morocco, there are some presence of the Spanish language in the north of Morocco, stemming for example from the availability of certain Spanish-language media. In Western Sahara, formerly Spanish Sahara, a primarily Hassaniya Arabic-speaking territory, Spanish was officially spoken as the language of the colonial administration during the late 19th and 20th centuries. Today, Spanish is present in the partially-recognized Sahrawi Arab Democratic Republic and in the Sahrawi refugee camps in Tindouf (Algeria), where the Spanish-language teaching is largely preserved by Cuban educators. In the mid-19th century, the colonial government set up a free public education system with Spanish as the medium of instruction."
Do more people speak Spanish than Hindi?,"In Western Sahara, formerly Spanish Sahara, a primarily Hassaniya Arabic-speaking territory, Spanish was officially spoken as the language of the colonial administration during the late 19th and 20th centuries. Today, Spanish is present in the partially-recognized Sahrawi Arab Democratic Republic and in the Sahrawi refugee camps in Tindouf (Algeria), where the Spanish-language teaching is largely preserved by Cuban educators."
Is Spanish more similar to Portuguese or Italian?,"It is generally acknowledged that Portuguese and Spanish speakers can communicate in written form, with varying degrees of mutual intelligibility. Italian, on the other hand is phonologically similar to Spanish, but has a lower lexical similarity of 82%. Mutual intelligibility between Spanish and French or between Spanish and Romanian is lower still, given lexical similarity ratings of 75% and 71% respectively."
When are the oldest written traces of Spanish from?,"History Like the other Romance languages, the Spanish language evolved from Vulgar Latin, which here was brought to the Iberian Peninsula by the Romans during the Second Punic War, beginning in 210 BC. Several pre-Roman languages (also called Paleohispanic languages)—some distantly related to Latin as Indo-European languages, and some that are not related at all—were previously spoken in the Iberian Peninsula. The first documents to show traces of what is today regarded as the precursor of modern Spanish are from the 9th century. Throughout the Middle Ages and into the modern era, the most important influences on the Spanish lexicon came from neighboring Romance languages—Mozarabic (Andalusi Romance), Navarro-Aragonese, Leonese, Catalan, Portuguese, Galician, Occitan, and later, French and Italian. Spanish also borrowed a considerable number of words from Arabic, as well as a minor influence from the Germanic Gothic language through the migration of tribes and a period of Visigoth rule in Iberia."
What sets Mexican Spanish apart?,"Spanish is a fusional language. The noun and adjective systems exhibit two genders and two numbers. In addition, articles and some pronouns and determiners have a neuter gender in their singular form. There are about fifty conjugated forms per verb, with 3 tenses: past, present, future; 2 aspects for past: perfective, imperfective; 4 moods: indicative, subjunctive, conditional, imperative; 3 persons: first, second, third; 2 numbers: singular, plural; 3 verboid forms: infinitive, gerund, and past participle. The indicative mood is the unmarked one, while the subjunctive mood expresses uncertainty or indetermination, and is commonly paired with the conditional, which is a mood used to express ""would"" (as in, ""I would eat if I had food); the imperative is a mood to express a command, commonly a one word phrase – ""¡Di!"", ""¡Talk!""."
Why is Spanish called castellano?,"The other Spanish languages shall also be official in their respective Autonomous Communities...The Royal Spanish Academy (Real Academia Española), on the other hand, currently uses the term español in its publications. However, from 1713 to 1923, it called the language castellano. The Diccionario panhispánico de dudas (a language guide published by the Royal Spanish Academy) states that, although the Royal Spanish Academy prefers to use the term español in its publications when referring to the Spanish language, both terms—español and castellano—are regarded as synonymous and equally valid."
"Were Proto-Basque, Iberian, Lusitanian, Celtiberian and Gallaecian previously spoken in the Iberian Peninsula?","History Like the other Romance languages, the Spanish language evolved from Vulgar Latin, which here was brought to the Iberian Peninsula by the Romans during the Second Punic War, beginning in 210 BC. Several pre-Roman languages (also called Paleohispanic languages)—some distantly related to Latin as Indo-European languages, and some that are not related at all—were previously spoken in the Iberian Peninsula. These languages included Proto-Basque, Iberian, Lusitanian, Celtiberian and Gallaecian."
Is Spanish an official language on Easter Island?,"The local languages of the Philippines also retain significant Spanish influence, with many words derived from Mexican Spanish, owing to the administration of the islands by Spain through New Spain until 1821, until direct governance from Madrid afterwards to 1898. Oceania Spanish is the official and most spoken language on Easter Island, which is geographically part of Polynesia in Oceania and politically part of Chile. However, Easter Island's traditional language is Rapa Nui, an Eastern Polynesian language."
Is Spanish spoken in some major American cities?,"In Western Sahara, formerly Spanish Sahara, a primarily Hassaniya Arabic-speaking territory, Spanish was officially spoken as the language of the colonial administration during the late 19th and 20th centuries. Today, Spanish is present in the partially-recognized Sahrawi Arab Democratic Republic and in the Sahrawi refugee camps in Tindouf (Algeria), where the Spanish-language teaching is largely preserved by Cuban educators."
What is the world's first-most spoken native language?,"Spanish is the official language of 20 countries. It is the world's second-most spoken native language after Mandarin Chinese; the world's fourth-most spoken language overall after English, Mandarin Chinese, and Hindustani (Hindi-Urdu); and the world's most widely spoken Romance language."
How many native speakers does Spanish have?,"In Western Sahara, formerly Spanish Sahara, a primarily Hassaniya Arabic-speaking territory, Spanish was officially spoken as the language of the colonial administration during the late 19th and 20th centuries. Today, Spanish is present in the partially-recognized Sahrawi Arab Democratic Republic and in the Sahrawi refugee camps in Tindouf (Algeria), where the Spanish-language teaching is largely preserved by Cuban educators. The number of Spanish speakers is unknown."
What is the world's most spoken native language?,"Spanish is the official language of 20 countries. It is the world's second-most spoken native language after Mandarin Chinese; the world's fourth-most spoken language overall after English, Mandarin Chinese, and Hindustani (Hindi-Urdu); and the world's most widely spoken Romance language."
Is Spanish the most used language on internet websites?,"Spanish is also the third most used language on internet websites after English and Chinese. Spanish is one of the six official languages of the United Nations, and it is also used as an official language by the European Union, the Organization of American States, the Union of South American Nations, the Community of Latin American and Caribbean States, the African Union and many other international organizations. Name of the language and etymology  Name of the language In Spain and in some other parts of the Spanish-speaking world, Spanish is called not only español but also castellano (Castilian), the language from the kingdom of Castile, contrasting it with other languages spoken in Spain such as Galician, Basque, Asturian, Catalan, Aragonese and Occitan."
Is Spanish currently an official language of the Phillippines?,"Spanish is the official language of 20 countries. It is the world's second-most spoken native language after Mandarin Chinese; the world's fourth-most spoken language overall after English, Mandarin Chinese, and Hindustani (Hindi-Urdu); and the world's most widely spoken Romance language."
Which Spanish-speaking country in Hispanophone America has the most residents?,"Oceania Spanish is the official and most spoken language on Easter Island, which is geographically part of Polynesia in Oceania and politically part of Chile. However, Easter Island's traditional language is Rapa Nui, an Eastern Polynesian language. As a legacy of comprising the former Spanish East Indies, Spanish loan words are present in the local languages of Guam, Northern Mariana Islands, Palau, Marshall Islands and Micronesia."
Is Spanish one of the six official languages of the United Nation?,"Spanish is one of the six official languages of the United Nations, and it is also used as an official language by the European Union, the Organization of American States, the Union of South American Nations, the Community of Latin American and Caribbean States, the African Union and many other international organizations. Name of the language and etymology  Name of the language In Spain and in some other parts of the Spanish-speaking world, Spanish is called not only español but also castellano (Castilian), the language from the kingdom of Castile, contrasting it with other languages spoken in Spain such as Galician, Basque, Asturian, Catalan, Aragonese and Occitan. The Spanish Constitution of 1978 uses the term castellano to define the official language of the whole Spanish State in contrast to las demás lenguas españolas (lit. ""the other Spanish languages"")."
What language is the most taught foreign language and the most used language on internet websites?,"Alongside English and French, it is also one of the most taught foreign languages throughout the world. Spanish does not feature prominently as a scientific language; however, it is better represented in areas like humanities and social sciences. Spanish is also the third most used language on internet websites after English and Chinese."
Where do the majority of the Spanish speakers live today?,"In Western Sahara, formerly Spanish Sahara, a primarily Hassaniya Arabic-speaking territory, Spanish was officially spoken as the language of the colonial administration during the late 19th and 20th centuries. Today, Spanish is present in the partially-recognized Sahrawi Arab Democratic Republic and in the Sahrawi refugee camps in Tindouf (Algeria), where the Spanish-language teaching is largely preserved by Cuban educators. The number of Spanish speakers is unknown."
Is it true that Spanish has smaller degrees of difference from Latin than Sardinian and Italian?,"The oldest Latin texts with traces of Spanish come from mid-northern Iberia in the 9th century, and the first systematic written use of the language happened in Toledo, a prominent city of the Kingdom of Castile, in the 13th century. Spanish colonialism in the Early Modern Period spurred on the introduction of the language to overseas locations, most notably to the Americas. As a Romance language, Spanish is a descendant of Latin and has one of the smaller degrees of difference from it (about 20%) alongside Sardinian and Italian. Around 75% of modern Spanish vocabulary is derived from Latin, including Latin borrowings from Ancient Greek."
Are there Spanish-speakers in Asia?,The number of Spanish speakers is unknown. Spanish is also an official language of the African Union. Asia Spanish was an official language of the Philippines from the beginning of Spanish administration in 1565 to a constitutional change in 1973.
Did Northern dialects always view Southern dialects as equal?,"Additionally, Spanish is the second most spoken language in the United States and is by far the most popular foreign language among students. While being mutually intelligible, there are important variations (phonological, grammatical, and lexical) in the spoken Spanish of the various regions of Spain and throughout the Spanish-speaking areas of the Americas. The variety with the most speakers is Mexican Spanish. It is spoken by more than twenty percent of the world's Spanish speakers (more than 112 million of the total of more than 500 million, according to the table above). One of its main features is the reduction or loss of unstressed vowels, mainly when they are in contact with the sound /s/.In Spain, northern dialects are popularly thought of as closer to the standard, although positive attitudes toward southern dialects have increased significantly in the last 50 years."
What was the Spanish lexicon was most influenced by?,"The Spanish vocabulary has been influenced by several languages: As in other European languages, Classical Greek words (Hellenisms) are abundant in several fields, mainly in Art, Science, Politics, Nature, etc. Its vocabulary has also been influenced by Arabic, having developed during the Al-Andalus era in the Iberian Peninsula, with around 8% of its vocabulary having Arabic lexical roots."
Which organization has branches in 45 countries and one of the goals is to promote education universally?,"Cervantes Institute The Instituto Cervantes (Cervantes Institute) is a worldwide nonprofit organization created by the Spanish government in 1991. This organization has branches in 45 countries, with 88 centers devoted to the Spanish and Hispanic American cultures and Spanish language. The goals of the Institute are to promote universally the education, the study, and the use of Spanish as a second language, to support methods and activities that help the process of Spanish-language education, and to contribute to the advancement of the Spanish and Hispanic American cultures in non-Spanish-speaking countries."
Do different dialects of Spanish have different consonant phonemes?,"Dialectal variation While being mutually intelligible, there are important variations (phonological, grammatical, and lexical) in the spoken Spanish of the various regions of Spain and throughout the Spanish-speaking areas of the Americas. The variety with the most speakers is Mexican Spanish. One of its main features is the reduction or loss of unstressed vowels, mainly when they are in contact with the sound /s/.In Spain, northern dialects are popularly thought of as closer to the standard, although positive attitudes toward southern dialects have increased significantly in the last 50 years."
What term for Spanish did the Royal Spanish Academy use in 1800?,"See also  Notes  References  Citations  Sources  External links OrganizationsReal Academia Española (RAE), Royal Spanish Academy. Spain's official institution, with a mission to ensure the stability of the Spanish languageInstituto Cervantes, Cervantes Institute."
How many people live in the Canary Islands?,"North Africa and Macaronesia Spanish is also spoken in the territories of Spain in Africa, for all intents and purposes the cities of Ceuta and Melilla and the Canary Islands, located in the Atlantic Ocean some 100 km (62 mi) off the northwest of the African mainland. The Spanish spoken in the Canary Islands (population over two million), traces its origins back to the Castilian conquest in the 15th century, and, in addition to a resemblance to Western Andalusian speech patterns, it also features strong influence from the Spanish varieties spoken in the Americas, which in turn have also been influenced historically by Canarian Spanish."
What are the two registers used in Spanish?,"In addition to the many exceptions to these tendencies, there are numerous minimal pairs that contrast solely on stress such as sábana ('sheet') and sabana ('savannah'); límite ('boundary'), limite ('he/she limits') and limité ('I limited'); líquido ('liquid'), liquido ('I sell off') and liquidó ('he/she sold off'). Speaker population Spanish is the official, or national language in 18 countries and one territory in the Americas, Spain, and Equatorial Guinea."
How many official languages does Puerto Rico have?,"In Western Sahara, formerly Spanish Sahara, a primarily Hassaniya Arabic-speaking territory, Spanish was officially spoken as the language of the colonial administration during the late 19th and 20th centuries. Spanish is also an official language of the African Union. Asia Spanish was an official language of the Philippines from the beginning of Spanish administration in 1565 to a constitutional change in 1973."
Is Spanish the least used language on internet websites?,"Spanish is also the third most used language on internet websites after English and Chinese. Spanish is one of the six official languages of the United Nations, and it is also used as an official language by the European Union, the Organization of American States, the Union of South American Nations, the Community of Latin American and Caribbean States, the African Union and many other international organizations. Name of the language and etymology  Name of the language In Spain and in some other parts of the Spanish-speaking world, Spanish is called not only español but also castellano (Castilian), the language from the kingdom of Castile, contrasting it with other languages spoken in Spain such as Galician, Basque, Asturian, Catalan, Aragonese and Occitan."
"In spanish, the noun and adjuective systems exhibit three genders","Spanish is a fusional language. The noun and adjective systems exhibit two genders and two numbers. In addition, articles and some pronouns and determiners have a neuter gender in their singular form. There are about fifty conjugated forms per verb, with 3 tenses: past, present, future; 2 aspects for past: perfective, imperfective; 4 moods: indicative, subjunctive, conditional, imperative; 3 persons: first, second, third; 2 numbers: singular, plural; 3 verboid forms: infinitive, gerund, and past participle."
"Which language is written in Latin script, whose diagraphs were formerly considered single letters?","This too tended to assimilate with modern Spanish, during the Spanish occupation of the region. Writing system Spanish is written in the Latin script, with the addition of the character ⟨ñ⟩ (eñe, representing the phoneme /ɲ/, a letter distinct from ⟨n⟩, although typographically composed of an ⟨n⟩ with a tilde). Formerly the digraphs ⟨ch⟩ (che, representing the phoneme /t͡ʃ/) and ⟨ll⟩ (elle, representing the phoneme /ʎ/ or /ʝ/), were also considered single letters."
Is it true that more than 10% of people in Europe speak Spanish as their mother togue?,"In the European Union, Spanish is the mother tongue of 8% of the population, with an additional 7% speaking it as a second language. Additionally, Spanish is the second most spoken language in the United States and is by far the most popular foreign language among students. In 2015, it was estimated that over 50 million Americans spoke Spanish, about 41 million of whom were native speakers."
Is Spanish the official language of more than one international organization?,"Official use by international organizations Spanish is one of the official languages of the United Nations, the European Union, the World Trade Organization, the Organization of American States, the Organization of Ibero-American States, the African Union, the Union of South American Nations, the Antarctic Treaty Secretariat, the Latin Union, the Caricom, the North American Free Trade Agreement, the Inter-American Development Bank, and numerous other international organizations. Sample text Article 1 of the Universal Declaration of Human Rights in Spanish:Todos los seres humanos nacen libres e iguales en dignidad y derechos y, dotados como están de razón y conciencia, deben comportarse fraternalmente los unos con los otros."
Where do the majority of Spanish speakers live today?,"In Western Sahara, formerly Spanish Sahara, a primarily Hassaniya Arabic-speaking territory, Spanish was officially spoken as the language of the colonial administration during the late 19th and 20th centuries. Today, Spanish is present in the partially-recognized Sahrawi Arab Democratic Republic and in the Sahrawi refugee camps in Tindouf (Algeria), where the Spanish-language teaching is largely preserved by Cuban educators. The number of Spanish speakers is unknown."
What language family is Spanish in?,"Spanish is a fusional language. The noun and adjective systems exhibit two genders and two numbers. In addition, articles and some pronouns and determiners have a neuter gender in their singular form."
What states and territories in the United states were ruled by Spain?,"The Spanish language has a long history of presence in the United States due to early Spanish and, later, Mexican administration over territories now forming the southwestern states, also Louisiana ruled by Spain from 1762 to 1802, as well as Florida, which was Spanish territory until 1821, and Puerto Rico which was Spanish until 1898. Spanish is by far the most common second language in the country, with over 50 million total speakers if non-native or second-language speakers are included."
When was the Association of Spanish Language Academies created?,"Organizations  Royal Spanish Academy The Royal Spanish Academy (Spanish: Real Academia Española), founded in 1713, together with the 21 other national ones (see Association of Spanish Language Academies), exercises a standardizing influence through its publication of dictionaries and widely respected grammar and style guides. Cervantes Institute The Instituto Cervantes (Cervantes Institute) is a worldwide nonprofit organization created by the Spanish government in 1991."
What type of Jewish are Ladino speakers?,"Judaeo-Spanish Judaeo-Spanish, also known as Ladino, is a variety of Spanish which preserves many features of medieval Spanish and Portuguese and is spoken by descendants of the Sephardi Jews who were expelled from Spain in the 15th century. Ladino speakers today are almost exclusively Sephardi Jews, with family roots in Turkey, Greece, or the Balkans, and living mostly in Israel, Turkey, and the United States, with a few communities in Hispanic America. Judaeo-Spanish lacks the Native American vocabulary which was acquired by standard Spanish during the Spanish colonial period, and it retains many archaic features which have since been lost in standard Spanish."
How did English overtake Spanish in the Phillippines?,"According to a popular anecdote, when Nebrija presented it to Queen Isabella I, she asked him what was the use of such a work, and he answered that language is the instrument of empire. In his introduction to the grammar, dated 18 August 1492, Nebrija wrote that ""... language was always the companion of empire.""From the 16th century onwards, the language was taken to the Spanish-discovered America and the Spanish East Indies via Spanish colonization of America. Miguel de Cervantes, author of Don Quixote, is such a well-known reference in the world that Spanish is often called la lengua de Cervantes (""the language of Cervantes"")."
Where was the first systemic written use of Spanish?,"The oldest Latin texts with traces of Spanish come from mid-northern Iberia in the 9th century, and the first systematic written use of the language happened in Toledo, a prominent city of the Kingdom of Castile, in the 13th century. Spanish colonialism in the Early Modern Period spurred on the introduction of the language to overseas locations, most notably to the Americas."
Is Spanish the most spoken native language?,"Spanish is the official language of 20 countries. It is the world's second-most spoken native language after Mandarin Chinese; the world's fourth-most spoken language overall after English, Mandarin Chinese, and Hindustani (Hindi-Urdu); and the world's most widely spoken Romance language."
What is another name of Spanish?,"Spanish is a fusional language. The noun and adjective systems exhibit two genders and two numbers. In addition, articles and some pronouns and determiners have a neuter gender in their singular form. There are about fifty conjugated forms per verb, with 3 tenses: past, present, future; 2 aspects for past: perfective, imperfective; 4 moods: indicative, subjunctive, conditional, imperative; 3 persons: first, second, third; 2 numbers: singular, plural; 3 verboid forms: infinitive, gerund, and past participle."
What color is Magikarp?,"Magikarp, known in Japan as Koiking (コイキング, Koikingu), is a Pokémon species in Nintendo and Game Freak's Pokémon franchise. Magikarp received mixed responses from critics, with some criticism directed towards it for being useless or pointless. Description Magikarp is a red, medium-sized fish."
Is Pokémon: Magikarp Jump a mobile video game?,"It also appeared in Pokémon Snap, Pokémon Pinball, Pokémon Channel, Pokémon Pinball: Ruby & Sapphire, Pokémon Trozei!, Pokémon Mystery Dungeon: Blue Rescue Team and Red Rescue Team, Pokémon Ranger, Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness, Pokémon Mystery Dungeon: Explorers of Sky, Pokémon Rumble, PokéPark Wii: Pikachu's Adventure, Pokémon Rumble Blast, PokéPark 2: Wonders Beyond, Pokémon Conquest , Pokémon Rumble U, Pokémon Battle Trozei, Pokémon Shuffle, Pokémon Rumble World, Pokémon Picross, and Pokémon Rumble Rush. A mobile video game, called Pokémon: Magikarp Jump, was announced in February 2017 under the title Splash! Magikarp, and was released for Android and iOS on 25 May 2017."
What is the color of the long barbels on female Magikarp?,"The shape of the dorsal fin resembles a crown, leading to its Japanese name Koiking. It also has long barbels, which are white on females and tan on males."
What color are the barbels on female Magikarp?,"Its fins are primarily white, but it has a stiff, three-pointed fin on its back and a four-pointed fin on its stomach which are both yellow. The shape of the dorsal fin resembles a crown, leading to its Japanese name Koiking. It also has long barbels, which are white on females and tan on males."
Can Magikarp learn the move Flail in the first generation of Pokémon games?,"According to the legend, carps that leap over a legendary waterfall called the Dragon Gate are rewarded for their perseverance and transformed into dragons. In the Nintendo 64 game, Pokémon Snap, the only way for the player to see a wild Gyarados is to knock a Magikarp into a waterfall, where it will evolve. In the first generation of Pokémon games, Magikarp can only learn 2 moves by level. The moves are Splash and Tackle, at levels 1 and 15, respectively."
Who was saved by a Magikarp?,"In the anime, Magikarp has appeared several times, most notably as the subject of a running gag in which a salesman attempts to trick Team Rocket into buying Magikarp in various guises, the first one being in Battle Aboard the St. Anne. In The Joy of Pokémon, a Nurse Joy from the Orange Islands befriended a giant Magikarp that saved her as a child. In The Wacky Watcher, Ash, Misty, and Tracey help a Pokémon Watcher named Dr. Quackenpoker observe the migration and evolution of a school of Magikarp. Another, in Ya See We Want an Evolution, was nicknamed the strongest Magikarp."
What did a salesman attempt to sell to Team Rocket?,"In the anime, Magikarp has appeared several times, most notably as the subject of a running gag in which a salesman attempts to trick Team Rocket into buying Magikarp in various guises, the first one being in Battle Aboard the St. Anne. In The Joy of Pokémon, a Nurse Joy from the Orange Islands befriended a giant Magikarp that saved her as a child."
Does Magikarp have yellow fins?,"Magikarp, known in Japan as Koiking (コイキング, Koikingu), is a Pokémon species in Nintendo and Game Freak's Pokémon franchise. Description Magikarp is a red, medium-sized fish. Its notable characteristics include large, heavy scales. Its fins are primarily white, but it has a stiff, three-pointed fin on its back and a four-pointed fin on its stomach which are both yellow. The shape of the dorsal fin resembles a crown, leading to its Japanese name Koiking."
Is magikarp a blue fish?,"Magikarp, known in Japan as Koiking (コイキング, Koikingu), is a Pokémon species in Nintendo and Game Freak's Pokémon franchise. Magikarp received mixed responses from critics, with some criticism directed towards it for being useless or pointless. Description Magikarp is a red, medium-sized fish."
Will an NPC sell the player a Magikarp in Pokémon Blue?,"In Pokémon Red and Blue, and their remakes, an NPC will sell the player a Magikarp. In Pokémon Diamond and Pearl, Magikarp appear flopping around in a dried-up lake."
Does its notable characteristics include big tails?,"Its notable characteristics include large, heavy scales. Its fins are primarily white, but it has a stiff, three-pointed fin on its back and a four-pointed fin on its stomach which are both yellow."
How can you see a wild Gyarados in Pokémon Snap?,"The concept of Magikarp evolving into Gyarados is based on the Chinese mythological tale of the carps leaping over the Dragon Gate. According to the legend, carps that leap over a legendary waterfall called the Dragon Gate are rewarded for their perseverance and transformed into dragons. In the Nintendo 64 game, Pokémon Snap, the only way for the player to see a wild Gyarados is to knock a Magikarp into a waterfall, where it will evolve."
"Do some Magikarp know moves other than Splash, Tackle, Flail, Hydro Pump and Bounce?","The moves are Splash and Tackle, at levels 1 and 15, respectively. From generations 2 to 8, Magikarp can learn the aforementioned moves at those respective levels, plus the move Flail, at level 25. In some generations, Magikarp can learn Hydro Pump and Bounce, however, the method to learn these moves is not by leveling up. There are some Magikarp that have been awarded to players (either in-game or by events) that know a few moves other than the mentioned before, however, those are few specimens."
Can Magikarp learn the moves Splash and Tackle from generations 2 to 8?,"The concept of Magikarp evolving into Gyarados is based on the Chinese mythological tale of the carps leaping over the Dragon Gate. According to the legend, carps that leap over a legendary waterfall called the Dragon Gate are rewarded for their perseverance and transformed into dragons. The moves are Splash and Tackle, at levels 1 and 15, respectively. From generations 2 to 8, Magikarp can learn the aforementioned moves at those respective levels, plus the move Flail, at level 25."
Is it true that Magikarp can only learn three moves by leveling?,"According to the legend, carps that leap over a legendary waterfall called the Dragon Gate are rewarded for their perseverance and transformed into dragons. In the first generation of Pokémon games, Magikarp can only learn 2 moves by level. The moves are Splash and Tackle, at levels 1 and 15, respectively."
"In the first generation of Pokemon games, could Magikarp learn 3 moves?","According to the legend, carps that leap over a legendary waterfall called the Dragon Gate are rewarded for their perseverance and transformed into dragons. In the Nintendo 64 game, Pokémon Snap, the only way for the player to see a wild Gyarados is to knock a Magikarp into a waterfall, where it will evolve. In the first generation of Pokémon games, Magikarp can only learn 2 moves by level. The moves are Splash and Tackle, at levels 1 and 15, respectively."
Did Magikarp appear flopping around in a dried-up lake in more than one video game?,"In Pokémon Diamond and Pearl, Magikarp appear flopping around in a dried-up lake. It has appeared in several Pokémon games later such as Pokémon Yellow, Pokémon Gold and Silver, Pokémon Crystal, Pokémon Ruby and Sapphire, Pokémon FireRed and LeafGreen, Pokémon Emerald, Pokémon Platinum, Pokémon HeartGold and SoulSilver, Pokémon Black and White, Pokémon Black 2 and White 2, Pokémon X and Y, Pokémon Omega Ruby and Alpha Sapphire, Pokémon Sun and Moon, Pokémon Ultra Sun and Ultra Moon, Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, Pokémon Sword and Shield, and Pokémon Brilliant Diamond and Shining Pearl. Outside of the main series, in Pokémon Stadium, Magikarp featured in its own mini-game called ""Magikarp Splash"", in which players must Splash high enough to hit the button at the top of the screen as many times as it can."
What are the only two moves Magikarp can learn by level in the first generation of Pokémon games?,"In the first generation of Pokémon games, Magikarp can only learn 2 moves by level. The moves are Splash and Tackle, at levels 1 and 15, respectively."
Is Magikarp a fish?,"Magikarp, known in Japan as Koiking (コイキング, Koikingu), is a Pokémon species in Nintendo and Game Freak's Pokémon franchise. Known as the Fish Pokémon, Magikarp is found in many bodies of water, especially lakes, rivers, and ponds. Magikarp received mixed responses from critics, with some criticism directed towards it for being useless or pointless. Description Magikarp is a red, medium-sized fish."
